"事件名","年","時代","概要","主要人物","関連事件"
"承和の変","842年","平安時代初期","嵯峨上皇の崩御直後、伴健岑と橘逸勢が皇太子・恒貞親王を擁立しようとしたとして摘発された政変。橘逸勢は流罪、皇太子も廃され、藤原良房が政権を握る道が開かれました。","橘嘉智子; 藤原良房; 橘逸勢; 伴健岑; 恒貞親王; 仁明天皇","薬子の変; 応天門の変; 摂関政治"
"応天門の変","866年","平安時代初期","応天門の放火事件をめぐり、当初犯人を糾弾していた大納言・伴善男が逆に犯人として失脚。古来の名門「伴氏」「紀氏」が没落し、藤原良房が人臣初の摂政となって摂関政治が確立しました。","藤原良房; 伴善男; 藤原高子; 清和天皇","承和の変; 陽成天皇即位; 摂関政治"
"安和の変","969年","平安時代中期","源高明が皇太子廃立を企てたとして藤原氏により失脚させられた政変。藤原氏に対抗できる有力者がここで一掃され、藤原氏による摂関体制が完全に固まりました。","源高明; 藤原実頼; 藤原師輔; 藤原安子; 冷泉天皇","天暦の治; 応天門の変; 摂関政治"
"長徳の変","996年","平安時代中期","藤原伊周・隆家兄弟が花山法皇に矢を射かけたとして失脚した政変。これにより道隆系の中関白家が没落し、藤原道長が一気に権力を掌握。皇后定子も大きな打撃を受けました。","藤原伊周; 藤原隆家; 藤原道長; 藤原定子; 花山法皇; 一条天皇","源氏物語; 枕草子; 摂関政治"
"源氏物語","1008年頃成立","平安時代中期","紫式部が藤原彰子に仕えながら執筆した世界最古級の長編物語。光源氏とその子孫を中心に貴族社会の恋愛と人生を描き、後の日本文学に決定的な影響を与えました。","紫式部; 藤原彰子; 藤原道長; 一条天皇","枕草子; 国風文化; 長徳の変"
"枕草子","1001年頃成立","平安時代中期","清少納言が藤原定子に仕えた華やかな日々を、鋭い観察眼と機知で綴った随筆。「春はあけぼの」で始まる名文で知られ、源氏物語と並ぶ平安女流文学の双璧です。","清少納言; 藤原定子; 一条天皇; 藤原道隆","源氏物語; 国風文化; 長徳の変"
"保元の乱","1156年","平安時代末期","鳥羽法皇の死後、崇徳上皇と後白河天皇が皇位継承をめぐって対立し、藤原氏や源氏・平氏も二派に分かれて戦った政変。武士が中央政界で力を握るきっかけとなりました。","崇徳上皇; 後白河天皇; 藤原得子（美福門院）; 兵衛佐局; 平清盛; 源義朝","平治の乱; 院政; 源平合戦"
"平治の乱","1159年","平安時代末期","保元の乱から3年後、藤原信頼と源義朝が平清盛と対立して挙兵するも敗北。義朝は殺され、子の頼朝は伊豆へ流されました。これにより平氏政権が確立し、武家の世の到来が決定的に。","平清盛; 源義朝; 藤原信頼; 後白河上皇; 源頼朝; 源義経","保元の乱; 源平合戦; 平氏政権"
"源平合戦","1180–1185年","平安時代末期","「治承・寿永の乱」とも呼ばれる、平氏政権と源氏勢力の戦い。富士川・倶利伽羅峠・一の谷・屋島・壇ノ浦と続いた合戦の末、平氏が滅亡し、源頼朝の鎌倉幕府成立へとつながりました。","平清盛; 平徳子（建礼門院）; 源頼朝; 源義経; 源義仲; 巴御前; 安徳天皇","保元の乱; 壇ノ浦の戦い; 鎌倉幕府成立"
"壇ノ浦の戦い","1185年","平安時代末期","源平合戦の最終決戦。関門海峡の壇ノ浦で平氏は源義経軍に敗れ、二位尼に抱かれた安徳天皇が入水し平氏は滅亡。建礼門院（平徳子）は救出され、後に大原寂光院で余生を送りました。","平徳子（建礼門院）; 安徳天皇; 二位尼（平時子）; 源義経; 源範頼","源平合戦; 鎌倉幕府成立; 平氏滅亡"
"鎌倉幕府成立","1185/1192年","鎌倉時代初期","源頼朝が伊豆で挙兵後、平氏を倒して武家政権を樹立。1185年に守護・地頭の任命権を獲得（実質的成立）、1192年に征夷大将軍に任じられた（形式的成立）と説が分かれます。武家政権の始まりです。","源頼朝; 北条政子; 源義経; 源頼家; 源実朝; 北条時政","源平合戦; 承久の乱; 御成敗式目"
"承久の乱","1221年","鎌倉時代前期","後鳥羽上皇が鎌倉幕府の打倒を企てて挙兵した戦い。北条政子の名演説で結束した御家人たちが上皇方を圧倒し、上皇は隠岐に流されました。これ以降、幕府の権力が朝廷を上回る時代に。","後鳥羽上皇; 北条政子; 北条義時; 源実朝","鎌倉幕府成立; 御成敗式目; 六波羅探題"
"元弘の乱","1331–1333年","鎌倉時代末期","後醍醐天皇が鎌倉幕府打倒のため挙兵した戦い。一度敗れて隠岐に流されましたが、楠木正成・足利尊氏・新田義貞らの活躍で1333年に鎌倉幕府を滅亡させ、建武の新政へと繋がります。","後醍醐天皇; 西園寺禧子; 楠木正成; 足利尊氏; 新田義貞; 北条高時","建武の新政; 鎌倉幕府; 南北朝の動乱"
"建武の新政","1333–1336年","南北朝時代","後醍醐天皇が鎌倉幕府を倒し、天皇親政を復活させた政治改革。しかし武士の不満を招き、足利尊氏の離反でわずか3年で崩壊。南北朝の動乱へと突入しました。","後醍醐天皇; 西園寺禧子; 足利尊氏; 楠木正成; 新田義貞","元弘の乱; 南北朝の動乱; 室町幕府成立"
"応仁の乱","1467–1477年","室町時代後期","8代将軍足利義政の後継問題と有力守護大名の対立が結びついて起きた11年に及ぶ大乱。京都が焦土と化し、室町幕府の権威は失墜。下剋上の風潮が広がり、戦国時代の幕が開きました。","足利義政; 日野富子; 足利義尚; 足利義視; 山名宗全; 細川勝元","明応の政変; 戦国時代; 下剋上"
"桶狭間の戦い","1560年","戦国時代","尾張の小大名・織田信長が、東海一の大大名・今川義元の大軍を奇襲で破り当主義元を討ち取った戦い。これを機に信長の天下取りが始まり、人質だった徳川家康（松平元康）も独立しました。","織田信長; 今川義元; 徳川家康（松平元康）; 築山殿","三方ヶ原の戦い; 本能寺の変; 本能寺以前の戦い"
"三方ヶ原の戦い","1573年","戦国時代","武田信玄が西上作戦中に徳川家康を浜松近郊の三方ヶ原で大破した戦い。家康は脱糞しながら逃げ帰ったとされ、生涯最大の敗戦に。直後に信玄が病没し、徳川は危機を脱しました。","武田信玄; 徳川家康; 築山殿; 松平信康","桶狭間の戦い; 長篠の戦い"
"本能寺の変","1582年","戦国時代","天下統一目前の織田信長が、家臣・明智光秀の謀反により京都本能寺で自害した事件。直後の「中国大返し」で羽柴秀吉が光秀を討ち、秀吉が天下取りを継承する転換点となりました。","織田信長; 明智光秀; 豊臣秀吉; お市の方; 淀殿（茶々）; ねね（北政所）","山崎の戦い; 賤ヶ岳の戦い; 天下統一"
"賤ヶ岳の戦い","1583年","安土桃山時代","本能寺の変の翌年、織田家家臣の柴田勝家と羽柴秀吉が信長の後継を巡って戦った合戦。秀吉が勝利して天下取りの主導権を握り、敗れた勝家はお市の方とともに北ノ庄城で自害しました。","豊臣秀吉; 柴田勝家; お市の方; 織田信雄; 加藤清正; 福島正則","本能寺の変; 小牧・長久手の戦い; 天下統一"
"関ヶ原の戦い","1600年","安土桃山時代","豊臣秀吉の死後、徳川家康率いる東軍と石田三成率いる西軍が美濃国関ヶ原で激突した「天下分け目の戦い」。半日で東軍が勝利し、家康が江戸幕府を開く決定的な勝利を得ました。","徳川家康; 石田三成; ねね（北政所）; 前田まつ; 小松姫; 淀殿","大坂の陣; 江戸幕府成立; 本能寺の変"
"江戸幕府成立","1603年","江戸時代初期","徳川家康が征夷大将軍に任じられて江戸に幕府を開いた年。以後260年以上にわたる徳川幕府の支配が始まります。子の秀忠、孫の家光まで3代で諸制度が整備されました。","徳川家康; 徳川秀忠; 徳川家光; お江与の方; 春日局","関ヶ原の戦い; 大坂の陣; 武家諸法度"
"大坂の陣","1614–1615年","江戸時代初期","徳川家康が豊臣家を滅ぼした冬の陣・夏の陣の二度の戦い。大坂城で淀殿と豊臣秀頼が自害し、豊臣家は滅亡。徳川による全国支配が確立しました。","淀殿; 豊臣秀頼; 千姫; 徳川家康; 徳川秀忠; お江与の方; 浅井初; 真田信繁","関ヶ原の戦い; 大奥; 武家諸法度"
"大奥","江戸時代","江戸時代","江戸城本丸で将軍の妻妾と女中たちが暮らした空間。3代家光の頃、乳母の春日局によって制度の基礎が築かれ、将軍家の継嗣を確保する場として、また江戸幕府の政治にも陰で大きな影響を与えました。","春日局; お江与の方; 桂昌院（お玉の方）; 徳川家光; 徳川綱吉; お美代の方","江戸幕府成立; 御台所; 玉の輿"
"生類憐れみの令","1685年〜","江戸時代前期","5代将軍徳川綱吉が出した、犬をはじめとする生き物の殺生を禁じる一連の法令。母・桂昌院や僧隆光の影響と言われ、極端な内容で「悪法」と批判されましたが、命を尊重する思想を社会に根付かせた面も。","徳川綱吉; 桂昌院（お玉の方）; 柳沢吉保; 隆光","大奥; 享保の改革"
"十字軍","1096–1291年","中世","西欧キリスト教世界がイスラム勢力からエルサレムを奪還するため約200年にわたり派遣した遠征。第1回ではエルサレム王国が建国され、第3回ではリチャード獅子心王とサラディンが対峙。最終的に西欧側は撤退したが、東西文化交流に大きな影響を与えた。","シビーユ; アリエノール・ダキテーヌ; リチャード1世; サラディン; ベレンガリア・オブ・ナヴァール; ルイ7世","百年戦争; 東方貿易; 封建制度"
"百年戦争","1337–1453年","中世末期","イングランド王エドワード3世がフランス王位継承権を主張して始まった戦争。母イザベラ・オブ・フランスがフランス王の妹だったことが根拠。ジャンヌ・ダルクの活躍などを経て約116年後、フランスが勝利し両国で国民意識が芽生えた。","イザベラ・オブ・フランス; エドワード3世; ジャンヌ・ダルク; シャルル7世; ジョーン・オブ・ナヴァール","薔薇戦争; 中央集権化; ジャンヌ・ダルク"
"薔薇戦争","1455–1485年","中世末期","イングランドのランカスター家（赤薔薇）とヨーク家（白薔薇）が王位を争った内乱。30年に及ぶ抗争の末、リッチモンド伯ヘンリー（後のヘンリー7世）がボズワースの戦いで勝利し、ヨーク家のエリザベスと結婚することで両家を統合、テューダー朝が成立した。","マーガレット・オブ・アンジュー; エリザベス・ウッドヴィル; エリザベス・オブ・ヨーク; ヘンリー6世; エドワード4世; リチャード3世; ヘンリー7世","百年戦争; テューダー朝; ボズワースの戦い"
"イギリス宗教改革","1534年〜","近世","ヘンリー8世がキャサリン・オブ・アラゴンとの離婚をローマ教皇に認められず、自ら国教会の首長となる「国王至上法」を発布。イングランド国教会が成立した。後にメアリー1世のカトリック復活、エリザベス1世による国教会再確立を経て定着した。","ヘンリー8世; キャサリン・オブ・アラゴン; アン・ブーリン; メアリー1世; エリザベス1世; トマス・モア","ユグノー戦争; 三十年戦争; テューダー朝"
"ユグノー戦争","1562–1598年","近世","フランスのカトリックとプロテスタント（ユグノー）の宗教内戦。1572年のサンバルテルミの虐殺を含む8回の戦争を経て、ブルボン朝のアンリ4世がナント勅令で信教の自由を保証して終結した。","カトリーヌ・ド・メディシス; ジャンヌ3世; アンリ4世; シャルル9世; ギーズ公","イギリス宗教改革; ナント勅令; 三十年戦争"
"サンバルテルミの虐殺","1572年8月24日","近世","パリで起きたカトリックによるユグノー（プロテスタント）の大虐殺。アンリ・ド・ナヴァール（後のアンリ4世）とマルグリット・ド・ヴァロワの結婚祝典に集まったユグノー有力者数千人が殺害された。カトリーヌ・ド・メディシスが主導したとされる。","カトリーヌ・ド・メディシス; シャルル9世; アンリ4世; マルグリット・ド・ヴァロワ; コリニー提督","ユグノー戦争; ナント勅令"
"三十年戦争","1618–1648年","近世","神聖ローマ帝国内の宗教対立から始まり、欧州諸国を巻き込んだ最大規模の宗教戦争。ハプスブルク家と反ハプスブルク連合（フランス・スウェーデン）の覇権争いに発展。ウェストファリア条約で終結し、主権国家体制の起点となった。","フェルディナント2世; グスタフ2世; リシュリュー; マリア・エレオノーラ","ウェストファリア条約; 宗教改革; 主権国家体制"
"名誉革命","1688–1689年","近世","イングランド議会がカトリックの専制君主ジェームズ2世を追放し、娘メアリーとその夫オラニエ公ウィリアム3世を共同君主に迎えた事件。流血なしで成功したため「名誉革命」と呼ばれる。翌年の権利章典で議会主権が確立し、立憲君主制の基礎となった。","メアリー2世; ウィリアム3世; ジェームズ2世; アン女王","権利章典; 立憲君主制; ピューリタン革命"
"スペイン継承戦争","1701–1714年","近世","スペイン・ハプスブルク家断絶後の王位継承を巡るヨーロッパ規模の戦争。ルイ14世が孫フェリペ5世を即位させようとしたのに対し、英・墺・蘭が反対同盟を結成。ユトレヒト条約でフェリペ即位を承認する代わり、英国が海外領土を獲得し大英帝国の基礎を築いた。","ルイ14世; フェリペ5世; アン女王; マールバラ公","七年戦争; アン女王戦争; ユトレヒト条約"
"オーストリア継承戦争","1740–1748年","近世","ハプスブルク家のマリア・テレジア継承に対し、プロイセンのフリードリヒ2世がシュレジエンを奪取して始まった戦争。フランス・スペインも反ハプスブルク側に参戦し、欧州規模の戦争に。マリア・テレジアは継承権を守ったがシュレジエンは失った。","マリア・テレジア; フリードリヒ2世; ルイ15世","七年戦争; ハプスブルク家; プロイセン"
"七年戦争","1756–1763年","近世","プロイセンとオーストリアのシュレジエン奪還戦争に英・仏が植民地で激突。インド・北米でも英仏が戦い、英国がインドと北米の覇権を確立。マリア・テレジアの捲土重来は失敗、プロイセンが大国の地位を確立した。","マリア・テレジア; フリードリヒ2世; エリザヴェータ・ペトロヴナ; エカチェリーナ2世; ピット","オーストリア継承戦争; フレンチ・インディアン戦争; プラッシーの戦い"
"フランス革命","1789–1799年","近代","バスティーユ襲撃に始まる近代の幕開け。ヴェルサイユ行進、王の処刑、恐怖政治、テルミドール反動を経てナポレオンの登場へ。「自由・平等・友愛」の理念は世界に広がり、市民革命の典型例として近代民主主義の原点となった。","ルイ16世; マリー・アントワネット; ロベスピエール; ダントン; ポリニャック夫人; ランバル公妃; デュ・バリー夫人","ナポレオン戦争; テルミドールの反動; 人権宣言"
"ナポレオン戦争","1803–1815年","近代","ナポレオンが皇帝となり、ヨーロッパ各国を相手に戦った一連の戦争。アウステルリッツの三帝会戦、トラファルガーの海戦、ロシア遠征の失敗、ライプツィヒの戦い、ワーテルローの戦いを経てナポレオンが失脚。ウィーン会議で19世紀ヨーロッパの体制が決まった。","ナポレオン1世; ジョゼフィーヌ; マリー・ルイーズ・ドートリッシュ; アレクサンドル1世; ウェリントン","フランス革命; ウィーン会議; ワーテルローの戦い"
"産業革命","1760年代〜","近代","イギリスから始まった機械化と工場制大規模生産への転換。ワットの蒸気機関、紡績機、鉄道、製鉄業の発展を背景に資本主義経済が成立。ヴィクトリア朝はその果実を享受した時代で、世界を「持つ国」と「持たざる国」に分けた近代化の根幹。","ヴィクトリア女王; ジェームズ・ワット; アダム・スミス","ヴィクトリア朝; 大英帝国; 資本主義"
"ヴィクトリア朝","1837–1901年","近代","ヴィクトリア女王の治世。産業革命の成熟、植民地拡大、議会政治の発展、文学（ディケンズ、ブロンテ姉妹）と科学（ダーウィン）の興隆により、イギリスが世界の覇権国「パクス・ブリタニカ」を実現した時代。","ヴィクトリア女王; アルバート公; ディズレーリ; グラッドストーン","産業革命; 大英帝国; クリミア戦争"
"レコンキスタ","8世紀〜1492年","中世","イベリア半島でキリスト教徒がイスラム勢力から領土を回復した約800年に及ぶ戦い。1492年、イザベル1世とフェルナンド2世がグラナダを陥落させて完成。同年コロンブスが新大陸に到達し、スペイン黄金時代の幕開けとなった。","イザベル1世; フェルナンド2世; コロンブス","大航海時代; 十字軍; スペイン王国成立"
"ローマ帝政","前27年〜","古代ローマ","オクタウィアヌスがアウグストゥスの称号を受けて事実上の皇帝となった共和制から帝政への転換。続くユリウス・クラウディウス朝、五賢帝時代を経て、ローマ帝国は地中海世界を支配する大帝国へと発展した。","アウグストゥス; リウィア・ドルシッラ; ティベリウス; クラウディウス; ネロ","ユリウス・クラウディウス朝; ローマ帝国分裂"
"ニカの乱","532年","東ローマ帝国","コンスタンティノープルで起きた大暴動。皇帝ユスティニアヌス1世が逃亡を考えた際、皇后テオドラが「皇衣は最良の死装束」と励まして鎮圧へ反転。半都を焼く大被害の後、再建されたのが現存するハギア・ソフィア聖堂。","ユスティニアヌス1世; テオドラ; ベリサリウス","ユスティニアヌス法典; ハギア・ソフィア再建"
"神聖ローマ帝国成立","962年","中世前期","東フランク王オットー1世がローマで皇帝戴冠を受け、カール大帝の帝国を継承する形で神聖ローマ帝国が成立した。以後1806年のナポレオンによる解体まで800年以上続く、中欧の枠組みとなる。","オットー1世; アーデルハイト・フォン・ブルグント; 教皇ヨハネス12世","カール大帝; オーストリア継承戦争; 三十年戦争"
"イタリア・ルネサンス","14–16世紀","ルネサンス","イタリア諸都市国家を中心に古代ギリシア・ローマ文化を「再生」する文化運動。フィレンツェのメディチ家、ミラノのスフォルツァ家、フェラーラのエステ家などの宮廷が芸術家を後援し、ダ・ヴィンチ、ミケランジェロらを生んだ。","ルクレツィア・ボルジア; カテリーナ・スフォルツァ; ベアトリーチェ・デステ; イザベラ・デステ; ロレンツォ・デ・メディチ","イタリア戦争; 宗教改革; 大航海時代"
"イタリア戦争","1494–1559年","ルネサンス・近世初期","フランス王とハプスブルク家がイタリア半島の覇権を争った断続的な戦争。イタリア諸都市国家は戦乱で疲弊し、最終的にハプスブルク家がイタリアを支配下に。火器の大量使用で軍事革命の起点ともなった。","シャルル8世; ルイ12世; アンヌ・ド・ブルターニュ; カール5世; フランソワ1世","イタリア・ルネサンス; 宗教改革; ハプスブルク家"
"オスマン帝国全盛期","16〜17世紀","近世","スレイマン1世（1520–1566年）の治世にオスマン帝国は最大版図に達し、ハンガリー征服やウィーン包囲を実現。続く17世紀には「女人天下時代」と呼ばれる、ハレムの女性たちが政治を動かす独特の時代を迎えた。","スレイマン1世; ヒュッレム・ハセキ・スルタン; キョセム・スルタン; メフメト4世","ウィーン包囲; プレヴェザの海戦"
"ロシア革命","1917年","近代","第一次世界大戦中のロシアで起きた二月革命と十月革命。ロマノフ朝が滅び、レーニン率いるボリシェヴィキが政権を掌握、世界初の社会主義国家ソビエトが誕生。皇帝ニコライ2世一家は翌1918年に銃殺された。","ニコライ2世; アレクサンドラ皇后; エリザヴェータ・フョードロヴナ; レーニン; ラスプーチン","第一次世界大戦; 血の日曜日事件; ソビエト連邦成立"
"ネーデルラント独立戦争","1568–1648年","近世","「八十年戦争」とも。スペイン・ハプスブルク家の支配下にあったネーデルラントが、過酷な宗教弾圧と重税に反発して独立を求めた戦争。ウェストファリア条約でオランダ共和国の独立が国際的に承認された。","フェリペ2世; マルゲリータ・ダウストリア; オラニエ公ウィレム; アルバ公","三十年戦争; ウェストファリア条約; ハプスブルク家"
"デカブリストの乱","1825年","近代","皇帝アレクサンドル1世の急死後の継承の混乱に乗じて、ナポレオン戦争でフランスから自由主義思想を持ち帰ったロシア青年将校たちが起こした蜂起。鎮圧されたが、ロシアにおける近代政治運動の起点となった。","ニコライ1世; アレクサンドラ・フョードロヴナ; アレクサンドル1世; ペステル","ナポレオン戦争; ロシア革命"
"フロンドの乱","1648–1653年","近世","ルイ14世幼少期のフランスで起きた高等法院・大貴族による反乱。マザラン枢機卿の徴税策に反発した民衆と貴族の蜂起。鎮圧後、ルイ14世は王権神授説と絶対主義を強化する道を選び、太陽王の時代へと向かう。","ルイ14世; マザラン; アン・ドートリッシュ; アンヌ・マリー・ルイーズ・ドルレアン","ブルボン朝; ヴェルサイユ宮殿; ナント勅令廃止"
