"ID","人物名","読み","動画タイトル","動画URL","生年","没年","時代","国","関連事件","関連キーワード","役割","テーマ","要約"
"izumi","和泉式部","いずみしきぶ","【平安時代の天才歌人】和泉式部【ゆっくり解説】","https://www.youtube.com/watch?v=XGpw8PeS6wo","c.978","","平安中期","日本","","藤原道長; 敦道親王; 為尊親王; 中古三十六歌仙; 和泉式部日記","歌人","恋愛; 和歌; 貴族文化","平安時代屈指の女流歌人。為尊・敦道親王と恋仲に。一条天皇中宮彰子に仕え、紫式部・赤染衛門らと宮廷文化を彩った。"
"shoshi","藤原彰子","ふじわらのしょうし","【一条天皇皇后】藤原彰子【ゆっくり解説】","https://www.youtube.com/watch?v=SkBljlopN7c","988","1074","平安中期","日本","寛弘の盛時; 藤原道長の摂関政治","一条天皇; 藤原道長; 紫式部; 源氏物語; 後一条天皇; 後朱雀天皇","中宮・皇太后","摂関政治; 国風文化","藤原道長の娘で一条天皇の中宮。紫式部を女房として仕えさせ、源氏物語の誕生を支えた。後一条・後朱雀天皇の母。"
"teishi","藤原定子","ふじわらのていし","【誰よりも愛された皇后】一条帝皇后・藤原定子【ゆっくり解説】","https://www.youtube.com/watch?v=n3uAtkZnlUA","977","1001","平安中期","日本","長徳の変","一条天皇; 藤原道隆; 藤原伊周; 清少納言; 枕草子","皇后","悲劇; 国風文化","藤原道隆の娘で一条天皇の最愛の皇后。清少納言が仕え枕草子の舞台となるが、父の死と兄の失脚で没落、若くして崩御。"
"shikishi","式子内親王","しょくしないしんのう","式子内親王【ゆっくり解説】","https://www.youtube.com/watch?v=e_iajVm4UaI","1149","1201","平安末・鎌倉初期","日本","源平合戦","後白河天皇; 新古今和歌集; 藤原定家; 斎院","斎院・歌人","和歌; 新古今","後白河天皇の皇女で賀茂斎院。新古今和歌集を代表する女流歌人で、藤原定家との恋が伝説化。源平の動乱を生きた。"
"hyoenosuke","兵衛佐局","ひょうえのすけのつぼね","【崇徳天皇側室】兵衛佐局【ゆっくり解説】","https://www.youtube.com/watch?v=H47Gw-epI00","","","平安末期","日本","保元の乱","崇徳天皇; 後白河天皇; 藤原信西; 院政","側室","院政; 悲劇","崇徳天皇の寵愛を受けた側室。崇徳が保元の乱で敗れ讃岐に流された後の苦難を生きた。"
"tokuko","藤原得子","ふじわらのなりこ","【鳥羽上皇皇后】藤原得子(美福門院)【ゆっくり解説】","https://www.youtube.com/watch?v=nhb3osGMG5U","1117","1160","平安末期","日本","保元の乱; 院政","鳥羽上皇; 美福門院; 崇徳上皇; 近衛天皇; 後白河天皇","皇后","院政; 皇位継承","鳥羽上皇の寵愛を独占した美福門院。我が子近衛を即位させ崇徳上皇と対立、保元の乱の遠因を作った。"
"shigeko","平滋子","たいらのしげこ","【後白河上皇女御】平滋子【ゆっくり解説】","https://www.youtube.com/watch?v=1IEAXbNJIRE","1142","1176","平安末期","日本","平氏政権成立; 鹿ケ谷の陰謀","後白河上皇; 高倉天皇; 平清盛; 平時忠; 建春門院","女御・皇太后","平氏全盛; 院政","平時信の娘で後白河の女御。高倉天皇の母。平氏と後白河上皇の橋渡し役で平氏全盛を支えるが、若くして死去し平氏没落の遠因に。"
"tokuko_taira","平徳子","たいらのとくこ","【高倉天皇中宮】平 徳子【ゆっくり解説】","https://www.youtube.com/watch?v=FsySsGCJ_-8","1155","1214","平安末期","日本","治承・寿永の乱; 壇ノ浦の戦い; 平氏滅亡","高倉天皇; 平清盛; 安徳天皇; 建礼門院; 源平合戦","中宮・皇太后","源平合戦; 悲劇","平清盛の娘で高倉天皇の中宮。安徳天皇の母。壇ノ浦の戦いで入水し救出され、大原寂光院で余生を送った。平家物語の象徴的存在。"
"tomoe","巴御前","ともえごぜん","【源義仲愛妾】巴御前【ゆっくり解説】","https://www.youtube.com/watch?v=dE3bNjWjfmM","c.1157","1247?","平安末期・鎌倉初期","日本","治承・寿永の乱; 源平合戦","木曾義仲; 源義経; 源頼朝; 倶利伽羅峠の戦い; 粟津の戦い","女武者","源平合戦; 女武者","木曾義仲の愛妾で女武者として戦場で活躍。倶利伽羅峠の戦いに参戦し、義仲最期の粟津の戦いで戦場を離れたとされる伝説の女性。"
"masako","北条政子","ほうじょうまさこ","【日本3大悪女】北条政子【ゆっくり歴史解説】","https://www.youtube.com/watch?v=nBn_-RmtZVg","1157","1225","鎌倉初期","日本","承久の乱; 鎌倉幕府成立; 源平合戦","源頼朝; 源頼家; 源実朝; 北条義時; 尼将軍; 後鳥羽上皇","御台所・尼将軍","鎌倉幕府; 女傑","源頼朝の妻。頼朝死後は尼将軍として幕府を率い、承久の乱では御家人を結集する名演説を行い後鳥羽上皇の挙兵を挫いた。"
"kishi","西園寺禧子","さいおんじきし","【後醍醐天皇皇后】西園寺 禧子【ゆっくり解説】","https://www.youtube.com/watch?v=kpw4grncxLI","1303","1333","鎌倉末期","日本","元弘の乱; 建武の新政","後醍醐天皇; 鎌倉幕府滅亡; 西園寺家; 両統迭立","皇后","建武の新政; 南北朝","後醍醐天皇の皇后。鎌倉幕府打倒の動乱の中で生き、建武の新政開始の年に死去。"
"tomiko","日野富子","ひのとみこ","【足利義政正室】日野富子【ゆっくり解説】","https://www.youtube.com/watch?v=FBPLcNWcttY","1440","1496","室町後期","日本","応仁の乱; 明応の政変","足利義政; 足利義尚; 足利義視; 山名宗全; 細川勝元; 下剋上","正室","応仁の乱; 戦国前夜","足利義政の正室。子義尚を将軍にしようと画策し応仁の乱の一因を作った。米相場や金融で富を築き「日本三大悪女」の一人。"
"oichi","お市の方","おいちのかた","【織田信長の妹姫！】お市の方【ゆっくり解説】","https://www.youtube.com/watch?v=b8wLy-K7mlg","1547","1583","戦国時代","日本","小谷城の戦い; 賤ヶ岳の戦い; 本能寺の変","織田信長; 浅井長政; 柴田勝家; 豊臣秀吉; 浅井三姉妹","武家女性","戦国大名; 悲劇","織田信長の妹で浅井長政の正室。長政滅亡後、柴田勝家に再嫁し賤ヶ岳の戦い後に夫とともに自害。茶々・初・江の三姉妹の母。"
"tsukiyama","築山殿","つきやまどの","【徳川家康正室】築山殿【ゆっくり解説】","https://www.youtube.com/watch?v=fDXEy1DXZtA","c.1542","1579","戦国時代","日本","桶狭間の戦い; 三方ヶ原の戦い","徳川家康; 今川義元; 松平信康; 武田勝頼","正室","戦国大名; 悲劇","徳川家康の正室で今川義元の姪。子の信康とともに武田と内通の嫌疑をかけられ家康に処断された。"
"nene","ねね（北政所）","ねね","【天下一のお嫁様！】豊臣秀吉正室ねね（北政所）【ゆっくり解説】","https://www.youtube.com/watch?v=r4yK3lCiw8k","1547","1624","安土桃山","日本","関ヶ原の戦い; 大坂の陣; 本能寺の変","豊臣秀吉; 高台院; 加藤清正; 福島正則; 徳川家康","正室","戦国大名; 豊臣家","豊臣秀吉の正室。秀吉死後は出家し高台院。加藤清正・福島正則ら子飼いの武将を支え、関ヶ原で徳川方に流れる流れを作ったとも。"
"matsu","前田まつ","まえだまつ","【前田利家正室】前田まつ【ゆっくり解説】","https://www.youtube.com/watch?v=gkar0G4WJV4","1547","1617","安土桃山・江戸初期","日本","関ヶ原の戦い","前田利家; 前田利長; 豊臣秀吉; 徳川家康; 加賀百万石","正室","戦国大名","前田利家の正室。利家死後、加賀前田家を守るため自ら江戸に人質として下り、家を改易から救った賢妻。"
"yodo","淀殿","よどどの","【豊臣秀吉側室】淀殿【ゆっくり解説】","https://www.youtube.com/watch?v=X_n3h9IcggA","c.1569","1615","安土桃山・江戸初期","日本","大坂の陣; 関ヶ原の戦い; 本能寺の変","豊臣秀吉; 豊臣秀頼; お市の方; 浅井長政; 徳川家康; 浅井三姉妹","側室","豊臣家; 悲劇","浅井長政・お市の長女。豊臣秀吉の側室となり秀頼を産む。秀吉死後は秀頼を擁して徳川と対立、大坂夏の陣で自害し豊臣氏滅亡。"
"ohatsu","浅井初","あざいはつ","【淀殿の妹君】浅井初【ゆっくり解説】","https://www.youtube.com/watch?v=Jdh1iThn9hg","1570","1633","安土桃山・江戸初期","日本","大坂の陣; 関ヶ原の戦い","京極高次; 淀殿; お江与; 浅井三姉妹","正室","豊臣家; 徳川家","浅井三姉妹の次女。京極高次の正室。大坂の陣では姉淀殿と妹江の和睦の使者として奔走した。"
"oeyo","お江与の方","おえよのかた","【浅井三姉妹】お江与の方【ゆっくり解説】","https://www.youtube.com/watch?v=azq2JJX-aLg","1573","1626","安土桃山・江戸初期","日本","大坂の陣; 関ヶ原の戦い; 江戸幕府成立","徳川秀忠; 徳川家光; 千姫; 浅井三姉妹; 崇源院","正室","徳川家","浅井三姉妹の三女で徳川秀忠の正室。3代将軍家光の母。徳川幕府の御台所として大奥制度の原型を作った。"
"komatsu","小松姫","こまつひめ","【真田信之正室】小松姫【ゆっくり解説】","https://www.youtube.com/watch?v=0YOzBgD_9Hw","1573","1620","安土桃山・江戸初期","日本","関ヶ原の戦い; 大坂の陣","真田信之; 真田昌幸; 真田信繁; 本多忠勝; 徳川家康","正室","真田家; 戦国大名","本多忠勝の娘で真田信之の正室。関ヶ原で家を二分した真田家の中で徳川方の信之を支え、義父昌幸を一喝した逸話で有名。"
"senhime","千姫","せんひめ","【豊臣秀頼正室】千姫","https://www.youtube.com/watch?v=P9cbpLUxg8I","1597","1666","江戸初期","日本","大坂の陣; 関ヶ原の戦い","徳川秀忠; 豊臣秀頼; 本多忠刻; お江与; 天樹院","正室","徳川家; 豊臣家","徳川秀忠と江の長女。7歳で豊臣秀頼に嫁ぎ、大坂夏の陣で救出される。後に本多忠刻と再婚し穏やかな後半生を送った。"
"kasuga","春日局","かすがのつぼね","【大奥爆誕！】春日局【ゆっくり解説】","https://www.youtube.com/watch?v=f-4dO0fv9cc","1579","1643","江戸初期","日本","大奥制度確立","徳川家光; 徳川家康; 明智光秀; 斎藤利三; 大奥","乳母","大奥; 徳川家","明智光秀の重臣斎藤利三の娘。徳川家光の乳母となり、家光を3代将軍に押し上げて大奥制度の基盤を築いた。"
"keishoin","桂昌院（お玉の方）","けいしょういん","【元祖玉の輿⁈】徳川家光側室お玉の方（桂昌院）【ゆっくり解説】","https://www.youtube.com/watch?v=4G7QLXB_eP4","1627","1705","江戸前期","日本","生類憐れみの令","徳川家光; 徳川綱吉; 玉の輿; 護国寺","側室","大奥; 徳川家","京の八百屋の娘から家光の側室へと出世した「玉の輿」の語源。子の綱吉を5代将軍とし、生類憐れみの令の背景にいたとされる。"
"tenshi","恬子内親王","やすこないしんのう","恬子内親王【ゆっくり解説】","https://www.youtube.com/watch?v=7t9hF6mVgY8","c.848","913","平安時代初期","日本","","在原業平; 伊勢物語; 斎宮; 文徳天皇; 清和天皇","斎宮・内親王","伊勢物語; 和歌","文徳天皇の皇女で伊勢斎宮を務めた。在原業平が斎宮にこっそり忍んだという『伊勢物語』第69段の「狩の使」のヒロインとされる人物。"
"kenshi","娟子内親王","けんしないしんのう","娟子内親王【ゆっくり解説】","https://www.youtube.com/watch?v=ZPK6mLJgYSU","1027","1101","平安時代中期","日本","","後朱雀天皇; 後三条天皇; 源俊房; 斎院","斎院・内親王","皇族; 禁断の恋","後朱雀天皇の皇女で賀茂斎院を務めたが、源俊房と密通し駆け落ちした「斎院密通事件」で知られる。藤原氏の制約のもとで愛を貫いた皇女。"
"tokushi","篤子内親王","あつこないしんのう","【堀河天皇中宮】篤子内親王【ゆっくり解説】","https://www.youtube.com/watch?v=q5l_-vwmJxg","1060","1114","平安時代後期","日本","","後三条天皇; 堀河天皇; 白河上皇; 院政","中宮","院政","後三条天皇の皇女で甥にあたる堀河天皇の中宮となった内親王皇后。父・夫・甥の3天皇に仕え、院政期の宮廷で重きをなした。"
"tangonotsubone","丹後局","たんごのつぼね","【後白河法皇側室】丹後局【ゆっくり解説】","https://www.youtube.com/watch?v=v7zQR5tJ-aE","c.1151","1216","平安時代末期","日本","源平合戦","後白河法皇; 源頼朝; 藤原兼実; 覚樹姫; 宣陽門院","側室","院政; 源平合戦","後白河法皇の寵姫として晩年の院政に絶大な影響力を持ち、頼朝とも渡り合った女性。法皇没後も娘宣陽門院を通じ朝廷で勢力を保った。"
"nijo","後深草院二条","ごふかくさいんのにじょう","【後深草院愛妾】後深草院二条【ゆっくり解説】","https://www.youtube.com/watch?v=g1d8jeo_X4M","1258","1306以後","鎌倉時代中期","日本","","後深草上皇; とはずがたり; 持明院統; 大覚寺統; 両統迭立","愛妾","女流文学; 鎌倉文化","後深草上皇の愛妾。回想録『とはずがたり』で宮廷の恋愛遍歴と諸国遍歴を綴った中世女流文学の傑作の作者。"
"takehime","竹姫","たけひめ","【徳川吉宗の恋人(？)】竹姫【ゆっくり解説】","https://www.youtube.com/watch?v=DHhbE0BcGpc","1705","1772","江戸時代中期","日本","享保の改革","徳川吉宗; 島津継豊; 大奥; 清閑寺熈定","養女・正室","大奥; 徳川家","公家の出身で5代綱吉の養女、後に8代吉宗の養女となった姫。吉宗との恋仲を疑われた逸話が残り、薩摩島津家へ嫁いで島津家の格を引き上げた。"
"omiyo","お美代の方","おみよのかた","【大奥スキャンダル】徳川家斉側室お美代の方【ゆっくり解説】","https://www.youtube.com/watch?v=1UjzHWBLzWY","1797","1872","江戸時代後期","日本","","徳川家斉; 中野清茂; 感応寺; 大奥; 天保の改革","側室","大奥; 徳川家","11代将軍徳川家斉の寵愛を受け、大奥で絶大な権勢を誇った側室。養父の中野清茂とともに政治にも介入し、家斉死後の天保の改革で失脚した。"
"sibylla","シビーユ","しびーゆ","エルサレム女王シビーユ【ゆっくり解説】","https://www.youtube.com/watch?v=9cepwdhqgm8","1160","1190","中世盛期","エルサレム王国","十字軍; ハッティンの戦い; 第3回十字軍","エルサレム王国; サラディン; リチャード1世; ギー・ド・リュジニャン","女王","十字軍; 中世王権","エルサレム王国の女王。夫ギー・ド・リュジニャンとともにサラディン軍と戦うが、ハッティンの戦いで敗れエルサレムを失った。第3回十字軍の引き金となった悲劇の女王。"
"alienor","アリエノール・ダキテーヌ","ありえのーる・だきてーぬ","ヘンリー2世王妃アリエノール・ダキテーヌ【ゆっくり解説】","https://www.youtube.com/watch?v=d3YSPV76wL8","1122","1204","中世盛期","フランス・イングランド","第2回十字軍; アンジュー帝国","ルイ7世; ヘンリー2世; リチャード1世; ジョン王; アキテーヌ","王妃","十字軍; プランタジネット朝","アキテーヌ女公にしてフランス王ルイ7世の后、後にイングランド王ヘンリー2世の后。第2回十字軍に夫と従軍し、リチャード獅子心王とジョン欠地王の母として中世ヨーロッパ最強の女傑と称される。"
"isabel1","イザベル1世","いざべるいっせい","イザベル1世【ゆっくり解説】","https://www.youtube.com/watch?v=QJmRkOZ-_nI","1451","1504","中世末期","スペイン","レコンキスタ完成; コロンブスの航海","フェルナンド2世; コロンブス; グラナダ陥落; アメリカ大陸発見; カトリック両王","女王","大航海時代; 宗教戦争","カスティーリャ女王。夫フェルナンド2世とともにグラナダを陥落させレコンキスタを完成、コロンブスの航海を支援して大航海時代を切り開いた「カトリック両王」の片翼。"
"margaret_anjou","マーガレット・オブ・アンジュー","まーがれっと・おぶ・あんじゅー","ヘンリー6世王妃マーガレット・オブ・アンジュー","https://www.youtube.com/watch?v=Z6hbS_Z8hSg","1430","1482","中世末期","イングランド","薔薇戦争; 百年戦争終結","ヘンリー6世; ランカスター家; ヨーク家; エドワード4世","王妃","薔薇戦争","イングランド王ヘンリー6世の王妃。夫の精神的不調の中、自ら軍を率いてランカスター家を支え、薔薇戦争を戦った苛烈な王妃として知られる。"
"elizabeth_w","エリザベス・ウッドヴィル","えりざべす・うっどゔぃる","【エドワード4世王妃】エリザベス・ウッドヴィル【ゆっくり解説】","https://www.youtube.com/watch?v=juHjlidnZgQ","c.1437","1492","中世末期","イングランド","薔薇戦争","エドワード4世; ヨーク家; エリザベス・オブ・ヨーク; リチャード3世","王妃","薔薇戦争","ヨーク家エドワード4世の王妃。身分違いの結婚で物議を醸した。夫の死後、ウッドヴィル一族が外戚として権勢を振るい、リチャード3世に王子たちを処刑された悲劇の母。"
"elizabeth_y","エリザベス・オブ・ヨーク","えりざべす・おぶ・よーく","【最後の白薔薇の王女】エリザベス・オブ・ヨーク【ヘンリー7世王妃】","https://www.youtube.com/watch?v=JzgsJELEokQ","1466","1503","中世末期","イングランド","薔薇戦争; 薔薇戦争終結; ボズワースの戦い","ヘンリー7世; テューダー朝成立; ヨーク家; ヘンリー8世","王妃","薔薇戦争; テューダー朝","ヨーク家最後の王女として生まれ、ランカスター家のヘンリー7世と結婚することで薔薇戦争を終結させた「白薔薇と赤薔薇の統合」の象徴。ヘンリー8世の母。"
"katherine_aragon","キャサリン・オブ・アラゴン","きゃさりん・おぶ・あらごん","【ヘンリー8世王妃】キャサリン・オブ・アラゴン【ゆっくり解説】","https://www.youtube.com/watch?v=HcQl4f87Zo4","1485","1536","近世","イングランド","イギリス宗教改革; ヘンリー8世の離婚問題","ヘンリー8世; イザベル1世; メアリー1世; アン・ブーリン; イングランド国教会","王妃","宗教改革; テューダー朝","スペイン王女（イザベル1世の娘）でヘンリー8世の最初の王妃。離婚拒否でローマ教皇庁と対立し、イギリス宗教改革（イングランド国教会成立）の引き金となった。メアリー1世の母。"
"anne_boleyn","アン・ブーリン","あん・ぶーりん","【再編集版】ヘンリー8世王妃アン・ブーリン","https://www.youtube.com/watch?v=TMcfFxVlw5M","c.1501","1536","近世","イングランド","イギリス宗教改革; ヘンリー8世の離婚問題","ヘンリー8世; キャサリン・オブ・アラゴン; エリザベス1世; イングランド国教会","王妃","宗教改革; テューダー朝","ヘンリー8世が前妃と離婚してまで娶った2番目の王妃。エリザベス1世の母だが、男児を産めず姦通の罪で処刑された。彼女の登用がイギリス宗教改革を加速させた。"
"mary1","メアリー1世","めありーいっせい","【再編集版】イングランド女王メアリー1世【ゆっくり解説】","https://www.youtube.com/watch?v=ywr2l3mnjVw","1516","1558","近世","イングランド","カトリック復活; イギリス宗教改革","ヘンリー8世; キャサリン・オブ・アラゴン; フェリペ2世; プロテスタント弾圧; ブラッディ・メアリー","女王","宗教改革; テューダー朝","ヘンリー8世とキャサリン・オブ・アラゴンの娘。カトリック復活を目指しプロテスタントを弾圧したことから「ブラッディ・メアリー」と呼ばれた。スペイン王フェリペ2世と結婚。"
"elizabeth1","エリザベス1世","えりざべすいっせい","【再編集版】イングランド女王エリザベス１世【ゆっくり解説】","https://www.youtube.com/watch?v=8w0mhtpSDkM","1533","1603","近世","イングランド","スペイン無敵艦隊撃破; イギリス宗教改革; アルマダの海戦","ヘンリー8世; アン・ブーリン; メアリー・スチュアート; シェイクスピア; テューダー朝","女王","宗教改革; テューダー朝; 黄金時代","ヘンリー8世とアン・ブーリンの娘。生涯独身で「処女王」と呼ばれ、スペイン無敵艦隊を破ってイギリスを大国に押し上げた。シェイクスピアら文化人を擁護した黄金時代の女王。"
"mary_stuart","メアリー・スチュアート","めありー・すちゅあーと","【スコットランド女王】メアリー・スチュアート【ゆっくり解説】","https://www.youtube.com/watch?v=bC2TADZd04k","1542","1587","近世","スコットランド","イギリス宗教改革; メアリー・スチュアート処刑","エリザベス1世; ジェームズ1世; ダーンリー卿; フランソワ2世","女王","宗教改革; ステュアート朝","スコットランド女王。一時はフランス王妃でもあった。イングランド王位継承権を主張しエリザベス1世と対立、最終的に処刑された。子のジェームズ1世がイングランド王位を継ぎ両国統合に。"
"diane","ディアーヌ・ド・ポワチエ","でぃあーぬ・ど・ぽわちえ","【アンリ2世愛妾】ディアーヌ・ド・ポワチエ","https://www.youtube.com/watch?v=xYUReSZF4NE","1499","1566","近世","フランス","ヴァロワ朝","アンリ2世; カトリーヌ・ド・メディシス; シュノンソー城","愛妾","ヴァロワ朝; ルネサンス","フランス王アンリ2世の20歳年上の愛妾で、王の生涯を支配した美貌の女性。シュノンソー城を授けられ、王妃カトリーヌ・ド・メディシスを長く影で抑え続けた。"
"catherine_medici","カトリーヌ・ド・メディシス","かとりーぬ・ど・めでぃしす","【再編集版】アンリ2世王妃カトリーヌ・ド・メディシス【ゆっくり解説】","https://www.youtube.com/watch?v=UZqBoYexCLM","1519","1589","近世","フランス","ユグノー戦争; サンバルテルミの虐殺","アンリ2世; シャルル9世; アンリ3世; メディチ家; ユグノー","王妃・摂政","宗教戦争; ヴァロワ朝","アンリ2世の王妃、夫の死後は3人の息子の摂政として政治を動かした。1572年のサンバルテルミの虐殺の主導者として悪名高く、フランス・ユグノー戦争の中心にいた。"
"jeanne3","ジャンヌ3世","じゃんぬさんせい","【アンリ4世の母】ジャンヌ3世【ゆっくり解説】","https://www.youtube.com/watch?v=-WX26iRqHVs","1528","1572","近世","ナバラ王国","ユグノー戦争; サンバルテルミの虐殺","アンリ4世; プロテスタント; ナバラ; カトリーヌ・ド・メディシス","女王","宗教戦争","ナバラ女王にしてプロテスタントの守護者。子のアンリは後にフランス王アンリ4世として即位しナント勅令を発布。彼女自身はサンバルテルミ虐殺の直前に急死した。"
"marie_medici","マリー・ド・メディシス","まりー・ど・めでぃしす","【アンリ4世王妃】マリー・ド・メディシス【ゆっくり解説】","https://www.youtube.com/watch?v=qu3m0q0pJVA","1575","1642","近世","フランス","ナント勅令; ブルボン朝","アンリ4世; ルイ13世; リシュリュー; メディチ家; ルーベンス","王妃・摂政","ブルボン朝","フランス王アンリ4世の王妃でルイ13世の母。夫の暗殺後に摂政となるが、子ルイ13世とリシュリューに権力を奪われ追放。ルーベンスの大連作で知られる豪奢な王妃。"
"maria_theresa","マリア・テレジア","まりあ・てれじあ","マリア・テレジア【ゆっくり解説】","https://www.youtube.com/watch?v=W0bTgu0CvmU","1717","1780","近世","オーストリア・ハプスブルク","オーストリア継承戦争; 七年戦争","フランツ1世; ヨーゼフ2世; マリー・アントワネット; フリードリヒ2世; ハプスブルク家","女帝","啓蒙絶対主義; ハプスブルク家","ハプスブルク家のオーストリア女大公。父の遺産を巡るオーストリア継承戦争・七年戦争を戦い抜き、16人の子を産み欧州各国に嫁がせた「ヨーロッパの祖母」。マリー・アントワネットの母。"
"marie_antoinette","マリー・アントワネット","まりー・あんとわねっと","【ルイ16世王妃】マリー・アントワネット『再編集版』【ゆっくり解説】","https://www.youtube.com/watch?v=dmZ88T-oYTE","1755","1793","近代","フランス","フランス革命; ヴェルサイユ行進; テュイルリー宮殿襲撃; ヴァレンヌ逃亡","ルイ16世; マリア・テレジア; フェルセン; ギロチン; ブルボン朝","王妃","フランス革命; ブルボン朝","オーストリア皇女から14歳でフランスに嫁ぎ、ルイ16世の王妃に。フランス革命で王政が崩壊、革命広場でギロチンにかけられた。「パンがなければ…」の伝説で象徴的な王妃。"
"polignac","ポリニャック夫人","ぽりにゃっくふじん","【マリーアントワネット臣下】ポリニャック夫人【ゆっくり解説】","https://www.youtube.com/watch?v=-Bk1p0ruWuo","1749","1793","近代","フランス","フランス革命","マリー・アントワネット; ルイ16世; 亡命貴族","寵臣","フランス革命; ブルボン朝","マリー・アントワネットの最愛の親友で寵臣。王妃の浪費の象徴として国民に憎まれた。革命勃発で亡命に成功するが、王妃処刑の知らせに病死した。"
